Date,Median Sales Price,Median House Price
2016-12-10,617820.0,607820.0
2016-12-17,620120.0,610120.0
2016-12-24,622420.0,612420.0
2016-12-31,624720.0,614720.0
2017-01-07,627020.0,617020.0
2017-01-14,629320.0,619320.0
2017-01-21,631620.0,621620.0
2017-01-28,633920.0,623920.0
2017-02-04,636220.0,626220.0
2017-02-11,638520.0,628520.0
2017-02-18,640820.0,630820.0
2017-02-25,643120.0,633120.0
2017-03-04,645420.0,635420.0
2017-03-11,647720.0,637720.0
2017-03-18,650020.0,640020.0
2017-03-25,652320.0,642320.0
2017-04-01,654620.0,644620.0
2017-04-08,656920.0,646920.0
2017-04-15,659220.0,649220.0
2017-04-22,661520.0,651520.0
2017-04-29,663820.0,653820.0
2017-05-06,666120.0,656120.0
2017-05-13,668420.0,658420.0
2017-05-20,670720.0,660720.0
2017-05-27,673020.0,663020.0
2017-06-03,675320.0,665320.0
2017-06-10,677620.0,667620.0
2017-06-17,679920.0,669920.0
2017-06-24,682220.0,672220.0
2017-07-01,684520.0,674520.0
2017-07-08,686820.0,676820.0
2017-07-15,689120.0,679120.0
2017-07-22,691420.0,681420.0
2017-07-29,693720.0,683720.0
2017-08-05,696020.0,686020.0
2017-08-12,698320.0,688320.0
2017-08-19,700620.0,690620.0
2017-08-26,702920.0,692920.0
2017-09-02,705220.0,695220.0
2017-09-09,707520.0,697520.0
2017-09-16,709820.0,699820.0
2017-09-23,712120.0,702120.0
2017-09-30,714420.0,704420.0
2017-10-07,716720.0,706720.0
2017-10-14,719020.0,709020.0
2017-10-21,721320.0,711320.0
2017-10-28,723620.0,713620.0
2017-11-04,725920.0,715920.0
2017-11-11,728220.0,718220.0
2017-11-18,730520.0,720520.0
2017-11-25,732820.0,722820.0
2017-12-02,735120.0,725120.0
2017-12-09,737420.0,727420.0
2017-12-16,739720.0,729720.0
2017-12-23,742020.0,732020.0
2017-12-30,744320.0,734320.0
2018-01-06,746620.0,736620.0
2018-01-13,748920.0,738920.0
2018-01-20,751220.0,741220.0
2018-01-27,753520.0,743520.0
2018-02-03,755820.0,745820.0
2018-02-10,758120.0,748120.0
2018-02-17,760420.0,750420.0
2018-02-24,762720.0,752720.0
2018-03-03,765020.0,755020.0
2018-03-10,767320.0,757320.0
2018-03-17,769620.0,759620.0
2018-03-24,771920.0,761920.0
2018-03-31,774220.0,764220.0
2018-04-07,776520.0,766520.0
2018-04-14,778820.0,768820.0
2018-04-21,781120.0,771120.0
2018-04-28,783420.0,773420.0
2018-05-05,785720.0,775720.0
2018-05-12,788020.0,778020.0
2018-05-19,790320.0,780320.0
2018-05-26,792620.0,782620.0
2018-06-02,794920.0,784920.0
2018-06-09,797220.0,787220.0
2018-06-16,799520.0,789520.0
2018-06-23,801820.0,791820.0
2018-06-30,804120.0,794120.0
2018-07-07,806420.0,796420.0
2018-07-14,808720.0,798720.0
2018-07-21,811020.0,801020.0
2018-07-28,813320.0,803320.0
2018-08-04,815620.0,805620.0
2018-08-11,817920.0,807920.0
2018-08-18,820220.0,810220.0
2018-08-25,822520.0,812520.0
2018-09-01,824820.0,814820.0
2018-09-08,827120.0,817120.0
2018-09-15,829420.0,819420.0
2018-09-22,831720.0,821720.0
2018-09-29,834020.0,824020.0
2018-10-06,836320.0,826320.0
2018-10-13,838620.0,828620.0
2018-10-20,840920.0,830920.0
2018-10-27,843220.0,833220.0
2018-11-03,845520.0,835520.0
2018-11-10,847820.0,837820.0
2018-11-17,850120.0,840120.0
2018-11-24,852420.0,842420.0
2018-12-01,854720.0,844720.0
2018-12-08,857020.0,847020.0
2018-12-15,859320.0,849320.0
2018-12-22,861620.0,851620.0
2018-12-29,863920.0,853920.0
2019-01-05,866220.0,856220.0
2019-01-12,868520.0,858520.0
2019-01-19,870820.0,860820.0
2019-01-26,873120.0,863120.0
2019-02-02,875420.0,865420.0
2019-02-09,877720.0,867720.0
2019-02-16,880020.0,870020.0
2019-02-23,882320.0,872320.0
2019-03-02,884620.0,874620.0
2019-03-09,886920.0,876920.0
2019-03-16,889220.0,879220.0
2019-03-23,891520.0,881520.0
2019-03-30,893820.0,883820.0
2019-04-06,896120.0,886120.0
2019-04-13,898420.0,888420.0
2019-04-20,900720.0,890720.0
2019-04-27,903020.0,893020.0
2019-05-04,905320.0,895320.0
2019-05-11,907620.0,897620.0
2019-05-18,909920.0,899920.0
2019-05-25,912220.0,902220.0
2019-06-01,914520.0,904520.0
2019-06-08,916820.0,906820.0
2019-06-15,919120.0,909120.0
2019-06-22,921420.0,911420.0
2019-06-29,923720.0,913720.0
2019-07-06,926020.0,916020.0
2019-07-13,928320.0,918320.0
2019-07-20,930620.0,920620.0
2019-07-27,932920.0,922920.0
2019-08-03,935220.0,925220.0
2019-08-10,937520.0,927520.0
2019-08-17,939820.0,929820.0
2019-08-24,942120.0,932120.0
2019-08-31,944420.0,934420.0
2019-09-07,946720.0,936720.0
2019-09-14,949020.0,939020.0
2019-09-21,951320.0,941320.0
2019-09-28,953620.0,943620.0
2019-10-05,955920.0,945920.0
2019-10-12,958220.0,948220.0
2019-10-19,960520.0,950520.0
2019-10-26,962820.0,952820.0
2019-11-02,965120.0,955120.0
2019-11-09,967420.0,957420.0
2019-11-16,969720.0,959720.0
2019-11-23,972020.0,962020.0
2019-11-30,974320.0,964320.0
2019-12-07,976620.0,966620.0
2019-12-14,978920.0,968920.0
2019-12-21,981220.0,971220.0
2019-12-28,983520.0,973520.0
2020-01-04,985820.0,975820.0
2020-01-11,988120.0,978120.0
2020-01-18,990420.0,980420.0
2020-01-25,992720.0,982720.0
2020-02-01,995020.0,985020.0
2020-02-08,997320.0,987320.0
2020-02-15,999620.0,989620.0
2020-02-22,1001920.0,991920.0
2020-02-29,1004220.0,994220.0
2020-03-07,1006520.0,996520.0
2020-03-14,1008820.0,998820.0
2020-03-21,1011120.0,1001120.0
2020-03-28,1013420.0,1003420.0
2020-04-04,1015720.0,1005720.0
2020-04-11,1018020.0,1008020.0
2020-04-18,1020320.0,1010320.0
2020-04-25,1022620.0,1012620.0
2020-05-02,1024920.0,1014920.0
2020-05-09,1027220.0,1017220.0
2020-05-16,1029520.0,1019520.0
2020-05-23,1031820.0,1021820.0
2020-05-30,1034120.0,1024120.0
2020-06-06,1036420.0,1026420.0
2020-06-13,1038720.0,1028720.0
2020-06-20,1041020.0,1031020.0
2020-06-27,1043320.0,1033320.0
2020-07-04,1045620.0,1035620.0
2020-07-11,1047920.0,1037920.0
2020-07-18,1050220.0,1040220.0
2020-07-25,1052520.0,1042520.0
2020-08-01,1054820.0,1044820.0
2020-08-08,1057120.0,1047120.0
2020-08-15,1059420.0,1049420.0
2020-08-22,1061720.0,1051720.0
2020-08-29,1064020.0,1054020.0
2020-09-05,1066320.0,1056320.0
2020-09-12,1068620.0,1058620.0
2020-09-19,1070920.0,1060920.0
2020-09-26,1073220.0,1063220.0
2020-10-03,1075520.0,1065520.0
2020-10-10,1077820.0,1067820.0
2020-10-17,1080120.0,1070120.0
2020-10-24,1082420.0,1072420.0
2020-10-31,1084720.0,1074720.0
2020-11-07,1087020.0,1077020.0
2020-11-14,1089320.0,1079320.0
2020-11-21,1091620.0,1081620.0
2020-11-28,1093920.0,1083920.0
2020-12-05,1096220.0,1086220.0
2020-12-12,1098520.0,1088520.0
2020-12-19,1100820.0,1090820.0
2020-12-26,1103120.0,1093120.0
2021-01-02,1105420.0,1095420.0
2021-01-09,1107720.0,1097720.0
2021-01-16,1110020.0,1100020.0
2021-01-23,1112320.0,1102320.0
2021-01-30,1114620.0,1104620.0
2021-02-06,1116920.0,1106920.0
2021-02-13,1119220.0,1109220.0
2021-02-20,1121520.0,1111520.0
2021-02-27,1123820.0,1113820.0
2021-03-06,1126120.0,1116120.0
2021-03-13,1128420.0,1118420.0
2021-03-20,1130720.0,1120720.0
2021-03-27,1133020.0,1123020.0
2021-04-03,1135320.0,1125320.0
2021-04-10,1137620.0,1127620.0
2021-04-17,1139920.0,1129920.0
2021-04-24,1142220.0,1132220.0
2021-05-01,1144520.0,1134520.0
2021-05-08,1146820.0,1136820.0
2021-05-15,1149120.0,1139120.0
2021-05-22,1151420.0,1141420.0
2021-05-29,1153720.0,1143720.0
2021-06-05,1156020.0,1146020.0
2021-06-12,1158320.0,1148320.0
2021-06-19,1160620.0,1150620.0
2021-06-26,1162920.0,1152920.0
2021-07-03,1165220.0,1155220.0
2021-07-10,1167520.0,1157520.0
2021-07-17,1169820.0,1159820.0
2021-07-24,1172120.0,1162120.0
2021-07-31,1174420.0,1164420.0
2021-08-07,1176720.0,1166720.0
2021-08-14,1179020.0,1169020.0
2021-08-21,1181320.0,1171320.0
2021-08-28,1183620.0,1173620.0
2021-09-04,1185920.0,1175920.0
2021-09-11,1188220.0,1178220.0
2021-09-18,1190520.0,1180520.0
2021-09-25,1192820.0,1182820.0
2021-10-02,1195120.0,1185120.0
2021-10-09,1197420.0,1187420.0
2021-10-16,1199720.0,1189720.0
2021-10-23,1202020.0,1192020.0
2021-10-30,1204320.0,1194320.0
2021-11-06,1206620.0,1196620.0
2021-11-13,1208920.0,1198920.0
2021-11-20,1211220.0,1201220.0
2021-11-27,1213520.0,1203520.0
2021-12-04,1215820.0,1205820.0
2021-12-11,1218120.0,1208120.0
2021-12-18,1220420.0,1210420.0
2021-12-25,1222720.0,1212720.0
2022-01-01,1225020.0,1215020.0
2022-01-08,1227320.0,1217320.0
2022-01-15,1229620.0,1219620.0
2022-01-22,1231920.0,1221920.0
2022-01-29,1234220.0,1224220.0
2022-02-05,1236520.0,1226520.0
2022-02-12,1238820.0,1228820.0
2022-02-19,1241120.0,1231120.0
2022-02-26,1243420.0,1233420.0
2022-03-05,1245720.0,1235720.0
2022-03-12,1248020.0,1238020.0
2022-03-19,1250320.0,1240320.0
2022-03-26,1252620.0,1242620.0
2022-04-02,1254920.0,1244920.0
2022-04-09,1257220.0,1247220.0
2022-04-16,1259520.0,1249520.0
2022-04-23,1261820.0,1251820.0
2022-04-30,1264120.0,1254120.0
2022-05-07,1266420.0,1256420.0
2022-05-14,1268720.0,1258720.0
2022-05-21,1271020.0,1261020.0
2022-05-28,1273320.0,1263320.0
2022-06-04,1275620.0,1265620.0
2022-06-11,1277920.0,1267920.0
2022-06-18,1280220.0,1270220.0
2022-06-25,1282520.0,1272520.0
2022-07-02,1284820.0,1274820.0
2022-07-09,1287120.0,1277120.0
2022-07-16,1289420.0,1279420.0
2022-07-23,1291720.0,1281720.0
2022-07-30,1294020.0,1284020.0
2022-08-06,1296320.0,1286320.0
2022-08-13,1298620.0,1288620.0
2022-08-20,1300920.0,1290920.0
2022-08-27,1303220.0,1293220.0
2022-09-03,1305520.0,1295520.0
2022-09-10,1307820.0,1297820.0
2022-09-17,1310120.0,1300120.0
2022-09-24,1312420.0,1302420.0
2022-10-01,1314720.0,1304720.0
2022-10-08,1317020.0,1307020.0
2022-10-15,1319320.0,1309320.0
2022-10-22,1321620.0,1311620.0
2022-10-29,1323920.0,1313920.0
2022-11-05,1326220.0,1316220.0
2022-11-12,1328520.0,1318520.0
2022-11-19,1330820.0,1320820.0
2022-11-26,1333120.0,1323120.0
2022-12-03,1335420.0,1325420.0
2022-12-10,1337720.0,1327720.0
2022-12-17,1340020.0,1330020.0
2022-12-24,1342320.0,1332320.0
2022-12-31,1344620.0,1334620.0
2023-01-07,1346920.0,1336920.0
2023-01-14,1349220.0,1339220.0
2023-01-21,1351520.0,1341520.0
2023-01-28,1353820.0,1343820.0
2023-02-04,1356120.0,1346120.0
2023-02-11,1358420.0,1348420.0
2023-02-18,1360720.0,1350720.0
2023-02-25,1363020.0,1353020.0
2023-03-04,1365320.0,1355320.0
2023-03-11,1367620.0,1357620.0
2023-03-18,1369920.0,1359920.0
2023-03-25,1372220.0,1362220.0
2023-04-01,1374520.0,1364520.0
2023-04-08,1376820.0,1366820.0
2023-04-15,1379120.0,1369120.0
2023-04-22,1381420.0,1371420.0
2023-04-29,1383720.0,1373720.0
2023-05-06,1386020.0,1376020.0
2023-05-13,1388320.0,1378320.0
2023-05-20,1390620.0,1380620.0
2023-05-27,1392920.0,1382920.0
2023-06-03,1395220.0,1385220.0
2023-06-10,1397520.0,1387520.0
2023-06-17,1399820.0,1389820.0
2023-06-24,1402120.0,1392120.0
2023-07-01,1404420.0,1394420.0
2023-07-08,1406720.0,1396720.0
2023-07-15,1409020.0,1399020.0
2023-07-22,1411320.0,1401320.0
2023-07-29,1413620.0,1403620.0
2023-08-05,1415920.0,1405920.0
2023-08-12,1418220.0,1408220.0
2023-08-19,1420520.0,1410520.0
2023-08-26,1422820.0,1412820.0
2023-09-02,1425120.0,1415120.0
2023-09-09,1427420.0,1417420.0
2023-09-16,1429720.0,1419720.0
2023-09-23,1432020.0,1422020.0
2023-09-30,1434320.0,1424320.0
2023-10-07,1436620.0,1426620.0
2023-10-14,1438920.0,1428920.0
2023-10-21,1441220.0,1431220.0
2023-10-28,1443520.0,1433520.0
2023-11-04,1445820.0,1435820.0
2023-11-11,1448120.0,1438120.0
2023-11-18,1450420.0,1440420.0
2023-11-25,1452720.0,1442720.0
2023-12-02,1455020.0,1445020.0
2023-12-09,1457320.0,1447320.0
2023-12-16,1459620.0,1449620.0
2023-12-23,1461920.0,1451920.0
2023-12-30,1464220.0,1454220.0
2024-01-06,1466520.0,1456520.0
2024-01-13,1468820.0,1458820.0
2024-01-20,1471120.0,1461120.0
2024-01-27,1473420.0,1463420.0
2024-02-03,1475720.0,1465720.0
2024-02-10,1478020.0,1468020.0
2024-02-17,1480320.0,1470320.0
2024-02-24,1482620.0,1472620.0
