Date,Median House Price,Median Sales Price
17/7/2022,1386071.17,1284539.48
24/7/2022,1400315.29,1300347.54
31/7/2022,1391795.75,1322006.1
7/8/2022,1387008.46,1314489.62
14/8/2022,1377860.62,1324592.32
21/8/2022,1396278.01,1306804.89
28/8/2022,1402796.4,1315228.26
4/9/2022,1415334.54,1318637.72
11/9/2022,1402785.47,1344097.04
18/9/2022,1413688.36,1333018.49
25/9/2022,1394672.98,1336716.04
2/10/2022,1399717.76,1317000.97
9/10/2022,1412116.4,1343507.01
16/10/2022,1400267.85,1334461.4
23/10/2022,1430706.03,1354018.76
30/10/2022,1427664.31,1365496.39
6/11/2022,1427218.83,1332787.91
13/11/2022,1430430.99,1333398.75
20/11/2022,1457978.12,1328636.53
27/11/2022,1422944.54,1341547.42
4/12/2022,1399270.92,1340074.64
11/12/2022,1437597.08,1353301.49
18/12/2022,1436163.57,1347844.33
25/12/2022,1431474.87,1346692.75
1/1/2023,1426870.25,1370189.42
8/1/2023,1437279.89,1342256.35
15/1/2023,1448902.85,1364925.07
22/1/2023,1440955.56,1354443.23
29/1/2023,1486999.66,1373501.79
5/2/2023,1438720.32,1385519.1
12/2/2023,1443546.17,1362297.6
19/2/2023,1423428.66,1375563.48
26/2/2023,1463845.27,1373733.78
5/3/2023,1432141.94,1361164.46
12/3/2023,1456611.26,1378871.52
19/3/2023,1462883.06,1381700.42
26/3/2023,1458687.24,1385660.58
2/4/2023,1497731.29,1378595.44
9/4/2023,1488879.15,1385088.21
16/4/2023,1496065.33,1368565.07
23/4/2023,1465357.03,1382511.43
30/4/2023,1497837.26,1398326.48
7/5/2023,1490663.4,1405478.06
14/5/2023,1497109.52,1387860.13
21/5/2023,1503295.05,1397869.47
28/5/2023,1476537.05,1401823.47
4/6/2023,1486118.78,1403528.77
11/6/2023,1507737.52,1410722.08
18/6/2023,1457279.33,1377443.22
25/6/2023,1522128.58,1406078.43
2/7/2023,1510040.68,1412507.7
9/7/2023,1503373.17,1396021.15
16/7/2023,1509681.39,1438239.8
23/7/2023,1493239.78,1417657.3
30/7/2023,1505754.7,1440788.89
6/8/2023,1529823.15,1407583.88
13/8/2023,1535104.25,1407936.13
20/8/2023,1558392.32,1427013.32
27/8/2023,1519155.13,1400573.12
3/9/2023,1512700.75,1431081.84
10/9/2023,1517180.57,1431419.55
17/9/2023,1511938.49,1447300.14
24/9/2023,1528356.33,1444684.69
1/10/2023,1537580.18,1430010.81
8/10/2023,1533640.6,1421914.43
15/10/2023,1552914.47,1466165.37
22/10/2023,1535271.07,1430702.97
29/10/2023,1535887.59,1429005.73
5/11/2023,1534695.36,1430519.66
12/11/2023,1521239.91,1465655.99
19/11/2023,1524527.95,1443216.81
26/11/2023,1532672.13,1441798.66
3/12/2023,1572195.96,1457273.48
10/12/2023,1568418.48,1454207.86
17/12/2023,1577929.08,1449244.51
24/12/2023,1539636.48,1472829.72
31/12/2023,1532405.32,1479603.48
7/1/2024,1554348.89,1480507.42
14/1/2024,1569202.05,1479335.36
21/1/2024,1576360.16,1475974.85
28/1/2024,1586914.43,1445401.06
4/2/2024,1577774.08,1499182.04
11/2/2024,1601964.95,1480777.03
18/2/2024,1574800.88,1487473.44
25/2/2024,1566758.81,1497179.43
